author	keywords
capellilaurent	faut***restreindre***écrit***scientifique***sera***publié***mais***demander***obliger***chercheurs***dont***recherche***financée***fonds***publics***rendre***accessible***gratuitement***rapidement***écrits***dans***publications***seraient***alors***forme***validation***travaux***accessible***tous
delenne	durée***embargo***mise***ligne***doit***pouvoir***être***immédiate
hcyinguyenvan	fédération***nationale***presse***information***spécialisée***régression***rapport***existe***preprint***sont***déjà***autorisés***sans***embargo***pourquoi***revenir***arrière***activité***édition***certes***coût***mais***déjà***amplement***diminuée***automatisation***mise***délégation***nombreuses***tâches***mise***format***templates***latex***word***fournis***éditeurs***scientifiques***oligopole***agit***presse***spécialisée***diffère***autres***domaines***presse***dans***lequel***travail***journaliste***déjà***complètement***délégué***vouloir***chercheurs***financement***public***vouloir***conserver***modèle***actuel***rendre***plus***restrictif***reviendrait***remettre***question***modèle***open***source***alors***dernier***déjà***montré***force***profit***très***nombreux***secteurs***économie***dont***celui***édition***presse
kareng	grand***nombre***jeunes***chercheurs***france***trouver***travail***pouvoir***accéder***travaux***scientifiques***lorsqu***affilié***laboratoire***frein***réinsertion***professionnelle
samsond	insuffisant***auteur***doit***être***tenu***diffuser***écrits***etat***devrait***assurer***plate***forme***publication***gratuite***libre***accès***conformément***préconisation***rapport***cnnum***évoquant***dépôt***institutionnel***instar***lois***votées***allemagne***italie***programme***horizon***2020***commission***européenne***évoque***aussi***données***brutes***devrait***minima***inspirer***rapport***commandé
annemariemottaz	accéder***plus***aisément***résultats***travaux***recherche***favoriserait***actualisation***connaissances***amélioration***pratiques
emmanueldupoux	cette***séparation***idiote***entre***sciences***sciences***humaines***sociales***justifie***doublement***délai***texte***tarabiscoté***nuisible***faut***interdire***transfert***droits***auteur***éditeur***quel***soit***votez***pour***amendement***dicosmo***http***1pkgn6i
emmanuellepicard	mise***disposition***systématique***résultats***recherche***financée***fonds***publics***sans***embargo
nicolasdumoulin	objectif***article***trompeur***devrait***être***trouver***compromis***pour***sauver***modèle***économique***éditeurs***privateurs***article***avec***embargo***favorise***libre***accès***publications***scientifiques***recherche***publique***dommage
francoisgeze	durées***embargo***mois***pour***mois***pour***sont***certainement***préférables***mois***mois***proposait***version***antérieure***projet***recommandation***commission***européenne***2012***reste***chiffres***reposent***aucune***étude***sérieuse***france***leur***impact***économie***revues***scientifiques***éditeurs***publient***agrégateurs***numériques***diffusent***donc***efficacité***réelle***telle***mesure***elle***doit***aboutir***disparition***revues***francophones***qualité***fait***baisse***leurs***abonnements***numériques***fait***chercheurs***français***certaines***disciplines***seraient***plus***publiés***dans***revues***anglophones***diffusées***grand***portails***anglo***saxons***alors***remède***serait***nettement***pire***sait***pourtant***durées***embargo***raisonnables***varient***priori***considérablement***discipline***autre***comme***montré***rares***études***britannique***occurrence***question***http***publishingresearch***documents***alpsppapotentialresultsofsixmonthembargofv***pour***revues***scientifiques***certaines***disciplines***embargo***court***mois***envisageable***valeur***intérêt***articles***plus***récents***grande***tandis***pour***autres***leur***équilibre***économique***sera***assuré***avec***durée***bien***supérieure***mois***peut***trancher***cette***question***sans***études***impact***approfondies***difficiles***cela***faire***faudrait***donc***sens***article***dont***partage***objectifs***renvoie***définition***durées***embargo***discipline***plus***tard***après***vote***décret***conseil***état***établirait***fonction***études***impact***seraient***conduites***entre***temps***ministère***enseignement***supérieur***recherche
peterwolf	tous***jours***presque***reçoit***mails***nous***demandant***publier***dans***nouveaux***journaux***manifestement***publication***scientifique***filon***intéresse***éditeurs***pour***scientifiques***important***avoir***accès***ouvert***immédiat***surtout***donner***accès***ouvert***immédiat***collègues***conséquent***limiter***accès***nécessaire***pour***éditeurs***gênant***pour***recherche***publique***éditeurs***jouent***rôle***important***doute***mais***impression***inflation***nombre***journaux***leur***survie***menacé***libre***accès
jeanyvescharbonnel	doit***avoir***court***délai***embargo***afin***queles***informations***scientifiques***soient***exploitables***leur***parution
martinecoppet	pour***libre***accès***données***recherche***bien***mais***néanmoins***vote***mitigé***cause***durée***embargo***trop***longue***pour***aligner***suppression***article***doit***être***réintroduit***dans***projet
julienbarre	rien***justifie***embargo***dégrade***situation***actuelle***preprints***doivent***pouvoir***être***diffusés***immédiatement***sans***aucun***embargo***fait***actuellement
patrickberthet	délais***trop***longs***pénaliseront***visibilité***recherche***française
stminternationalassociationofscientifictechnicalandmedicalpublishers	welcomes***government***initiatives***foster***access***scientific***information***publishers***committed***widest***possible***dissemination***access***content***they***publish***they***consider***open***access***publishing***compatible***business***model***neutral***long***model***sustainable***maintains***journal***quality***view***freedom***authors***author***choice***when***where***publish***absolutely***part***author***inalienable***right***remains***concerned***opposes***mandatory***deposit***manuscripts***accepted***publication***which***made***publicly***available***after***fixed***rigid***embargo***period***which***insufficiently***takes***into***account***economic***underpinning***each***publication***embargo***periods***should***journal***specific***because***every***discipline***discipline***same***attitude***material***being***available***before***final***publication***where***deposit***characterized***legislation***right***author***relation***manuscript***important***ensure***that***exercise***this***right***remains***sole***prerogative***individual***additional***right***that***author***obtain***after***individually***agreed***embargo***should***detract***leave***intact***editor***publisher***exclusive***rights***finally***published***article***legal***technique***chosen***must***ensure***that***publishers***continue***authorize***final***published***version***that***they***lose***their***exclusive***right***ability***enforce***these***said***rights***against***third***parties***notes***that***envisages***mandatory***solution***that***does***allow***deviation***contract***troubling***that***would***nullify***even***contractual***agreements***that***more***favourable***authors***this***could***violation***berne***convention***unqualified***right***exercise***author***exclusive***right***without***registration***limitations***this***right***necessarily***conformity***with***three***step***test
isabellegouat	devrait***avoir***période***embargo***sauf***exceptions***brevets***données***sensibles***période***embargo***prévue***éditeurs***justement***période***pour***étudiants***chercheurs***besoin***accéder***informations***plus***récentes***pour***être***innovants***dans***certains***domaines***évolution***tellement***rapide***périodes***embargo***reviennent***accéder***préhistoire***plus***cela***crée***inégalité***dans***accès***données***dans***certains***pays***ensemble***communauté***scientifique***accès***code***ensemble***despublications***inégalités***également***dans***notre***pays***puisque***laboratoires***riches***peuvent***permettre***payer***abonnements***revues***scientifiques***négociés***couperin***étudiant***chercheur***paye***pour***accéder***propres***articles***tout***même***scandaleux***cela***revient***payer***deux***fois***service***public***moitié***argent***dans***poche***éditeurs***alors***elle***devrait***aller***dans***commun***pour***financer***gestion***archives***ouvertes***existantes***telles***ainsi***reviewers***pour***éviter***travers***open***access***tout***faudrait***également***aller***plus***loin***niveau***interopérabilité***données***recherche***pour***exploitation***aisée***notamment***données***transversales
benjaminperet	idée***bonne***effet***mais***changera***triste***réalité***millions***euros***fonds***publics***perdus***dans***frais***publication***accès***revues***scientifiques***sans***compter***chercheurs***mêmes***agissent***comme***experts***articles***faut***attaquer***système***entier***proposant***service***public***édition***articles***scientifiques***condition***soit***reconnu***toutes***institutions***recherche***française***cnrs***inra***inserm***pour***évaluation***leurs***travaux***attribution***financement***difficulté***majeure***système***publication***devrait***aussi***être***reconnu***niveau***européen***international***cnrs***pour***citer***dispose***toutes***compétences***pour***mettre***place***service***édition***puisque***chercheurs***assurent***déjà***mêmes***travail***aurait***alors***vraiment***possibilité***faire***open***access***gratuit***indépendant
danielretureau	sinon***utilisateur***paierait***deux***fois***impôt***puis***achat***paiement***pourrait***être***demandé***pour***versions***papier***mais***pour***versions***numériques
institutderechercheenproprieteintellectuelleirpi1	point***savoir***enseignants***chercheurs***sont***exemple***considérés***comme***ayant***charge***activité***recherche***financée***moins***pour***moitié***fonds***publics***mérite***être***éclairci***comment***concilier***mécanisme***neutralisation***cession***exclusive***éditeur***avec***article***code***propriété***intellectuelle***prévoit***auteur***libre***mettre***œuvres***gratuitement***disposition***public***sous***réserve***droits***éventuels***coauteurs***ceux***tiers***ainsi***dans***respect***conventions***conclues***certes***projet***pour***objectif***faire***bénéficier***société***civile***articles***recherche***mais***chambre***commerce***industrie***région***paris***france***plaide***plutôt***pour***modification***rapports***entre***auteurs***éditeurs***trois***voies***sont***envisageables***prévoir***dans***contrat***édition***cession***titre***exclusif***prévoir***droit***exploitation***ligne***cédé***titre***exclusif***mais***seulement***pour***exploitations***titre***commercial***prévoir***exclusivité***exploitation***ligne***hors***ligne***mais***limitée***période***déterminée***institut***recherche***propriété***intellectuelle***irpi***chambre***commerce***industrie***région***paris***france***recueilli***observations***coprésident***professeur***jean***christophe***galloux***université***panthéon***assas***paris***professeur***bertrand***warusfel***université***lille***irpi***comprend***souci***auquel***cette***proposition***texte***voudrait***apporter***réponse***existe***effet***pratique***contrariété***entre***part***exigences***respect***droit***éditeurs***autre***part***souci***légitime***chercheurs***diffuser***largement***leurs***travaux***résultats***cependant***tenu***compte***contraintes***européennes***internationales***matière***droit***auteur***plus***particulièrement***encadrent***possibilité***pour***état***instaurer***nouvelle***exception***application***souveraine***droits***auteur***ayant***causes***comme***éditeur***agit***part***test***trois***étapes***instauré***article***convention***berne***impose***limiter***spéciaux***portent***atteinte***exploitation***normale***œuvre***causent***préjudice***injustifié***intérêts***légitimes***auteur***agit***également***article***directive***2001***droit***auteur***laquelle***reprend***également***test***trois***étapes***limite***droit***établir***exceptions***droit***national***seules***exceptions***décrites***limitativement***article***dont***aucune***recouvre***véritablement***préoccupation***spécifique***favoriser***diffusion***précoce***travaux***scientifiques
blazyolivier	article***proposé***impose***délai***embargo***pratiques***actuelles***visent***rendre***preprint***disponible***avant***même***parution***officielle***article***serait***faire***arrière
nathanfrenot	juste***évidence***comprends***même***soit***déjà***cela***favoriserait***effet***grandement***innovation***contre***comprends***pourquoi***délai***serait***plus***long***pour***sciences***humaines
