userA	userB	score
frederiqueflamerie	lafaitjacques	4
gregallaire	ouriachioussama	3
juliendupredebaubigny	monnet	4
fredericmandon	davidbenoist	4
hcyinguyenvan	fabienmalbet	3
hcyinguyenvan	jeanpierregesbert	6
damienrobert	mihaelasighireanu	5
davidmonniaux	sebastienlebonnois	5
leblancannie	antoineamarilli	3
annickvalibouze	lerouergue1	3
xavierleroy	benjaminguichard	6
fredericchapoton	davidbenoist	5
pierrev	odilecontat	3
clementtisserant	elodieponcet	3
stephaniegroudiev	doctorant	3
dominiqueroux	mihaelasighireanu	3
agnesraymonddenise	jozefinasadowska	3
laurent	benjaminguichard	4
audeleblond	guillaumequeruel	4
fabienlabarthe	emmanuelhadoux	3
chekib1	eliemichel	6
jacquesmillet	lucadefeo	3
delphinedebarre	hubertguillaud	3
coret	cecileadamolle	3
jeremienuel	favreguillaume	3
patricebellot1	aeris	3
arnaudferraris	favreguillaume	7
schwartzlionel	laurentromary	5
leclercarmelle	pascaltobaly	4
manuelclergue	christineleininger	3
abharmach	sbauin	10
ericdaspet	adrienchopin	4
thierryfournier	martinecoppet	4
kevinperrot	sbauin	5
damienrobert	guycobolet1	3
ackervalerie	davidbenoist	3
gibierfrancois	fredericclavert	3
xavierleroy	oliviercleynen	3
pierreboulet1	fredericherbreteau	6
gregallaire	jozefinasadowska	3
aurelienberra	alainberetzpresidentdeluniversitedestrasbourg	6
frederichelein	mauleskinemouraby	3
virgileprevosto	emmanuelthome	4
delphinedebarre	gibierfrancois	4
legendre	thomaslamarche	4
philippedeso	thomaslamarche	6
marieannepaveau	ouriachioussama	4
alabau	fabienlabarthe	3
thomasletendre	antoineamarilli	4
maxb	vorosandre	3
cavetdominique	hcyinguyenvan	5
francoislermigeaux	fredericmandon	3
mauran	elianedaphy	3
baratault	pascalelalot	3
ackervalerie	maicf	3
arramyleroux	aymerich	4
olivierpantale	chekib1	4
gesbert	franckinfodocbib1	6
claudeloverdo	vivienripoll	4
ackervalerie	martinecourbincoulaud	3
juliendupredebaubigny	christineleininger	3
marcjeanmougin	consortiumcouperin	5
thomasletendre	noelthiboud	4
thomasblanchard	sarraderafaele	3
samsond	maicf	5
louisgesbert	sebastienlebonnois	3
jeanbaptistemouret	miklarzclement	4
ericf	violainev	3
mihaelasighireanu	ouriachioussama	4
amicfrouvelle	nicolasdandrimont	3
horatiucirstea	jeansebastienkrollrabotin	3
mauran	chantalbarutau	3
gabrielscherer	christinekosmopoulos	3
rmathis	emmanuellecorne	7
cedrictemple	miklarzclement	4
gabrielllang	adrienchopin	4
laurentlopez	gabrielscherer	3
geraldineniateldacos	adrienfabre	3
hugol	olivierpantale	3
annickvalibouze	victorlefevre	3
arramyleroux	horatiucirstea	3
duflotjeanluc	emmanuelthome	5
marieevegeiger	vincentreverdy	7
mauran	patricetorguet	3
sarraderafaele	cypriengay	3
juliendupredebaubigny	aeris	3
fredericdanielluclehobey	hubertguillaud	3
laurevieu	romainbazile	3
deputeeisabelleattard	pascaltobaly	3
adrienfabre	etiennepariat	3
pierrenaegelen	salvetatfrancoise	3
brunodurand	valentinplichon	3
pierrickkoch	samsond	5
leoducas	juliendupredebaubigny	3
stornecatherine	juliengilet1	4
leblancannie	noelthiboud	3
rmathis	laurentromary	4
francoisparreau	catherinelandry	4
roux3	josettelapeyre	4
leblancannie	danielpouyllau	3
bernadettebergeret	jeankempf	4
romainboistel	jeremiebettinelli	5
florencebouillon	geoffreyharaux	3
jacquesmillet	thomaslamarche	4
julienbect	fouillet	3
stephanemagnier	arnaudferraris	6
celinefouga	odilecontat	4
silvanodalzilio	epristassociationdesresponsablesistdesorganismesderecherchefrancais	5
jacquesmillet	laurentbercot1	4
frederiqueflamerie	nicolasdandrimont	5
ouriachioussama	moniqueteillaud	3
henrigaly	veroniquecohoner	3
alainmarois	antoineamarilli	9
stephanepouyllau	schwartzlionel	4
delphinedebarre	cecileadamolle	3
simona	christineleininger	4
pierrickkoch	annecanteaut	3
marcmezzarobba	allia	5
moniqueteillaud	cypriengay	3
olivierjacquot	clairelemercier	5
christinelebas	marieevegeiger	3
maisonobeluc	claudeniatel	7
annebergez	alaincimino	4
charlenecriton	vivienripoll	4
gabrielscherer	gregoire	3
merlet	deputeeisabelleattard	3
delphinedebarre	marieannepaveau	4
celinevautrin	nicolasbarts	3
nikolaykovachev	jeannevarasco	4
2	samuelhornus	4
jeannevarasco	fontaine	3
alexandrenolin	virgileandreani	4
stephaniedordcrousle	moniqueteillaud	3
apincetre	martinecoppet	3
annickvalibouze	gesbert	5
arramyleroux	eliemichel	4
fabienlabarthe	bernardteissier	3
emmanuellecorne	audeleblond	5
francoisetruffert	vorosandre	3
celinevautrin	benoitpier1	3
cavetdominique	christineollendorff	8
francistrautmann	alexiskauffmann	4
jeanfrancois	celialentretien	3
pierrenaegelen	cecilearmana	3
samuelauthueil	sgl	3
alainmarois	elodieponcet	7
philippegambette	nathalieduchange	3
ernoult	mihaelasighireanu	5
griddock	nicolasbraudsantoni	4
jeanchristophepeyssard	anicetrohee	3
jeanchristophebach	jeankempf	3
vincentreverdy	ouriachioussama	4
cavetdominique	elodieponcet	4
marlenedelhaye	eliemichel	3
thomasblanchard	marieevegeiger	3
schwartzlionel	clairelemercier	5
adelineregeuniversitedestrasbourg	henrigaly	3
2	francoisducrocq	6
olivierchapuis	sylvaincrovisier1	5
juliendupredebaubigny	leinardifrancesca	3
2	laurentromary	6
benjaminprevost	valerielarroque	3
frederiquelangue	olivierbuffet	3
julianbh	yannbonnet	3
fredericherbreteau	maicf	3
marindacos	miklarzclement	4
chevallierchantepie	nicolasdandrimont	6
josettelapeyre	anthonymasure	4
prescillialagarrigue	marindacos	4
kevinperrot	olivierlegall1	3
olivierbuffet	xavierleroy	3
pierrev	valeryxavierlentz	4
emilegersch	lerouergue1	33
gibierfrancois	souzani	3
benjaminprevost	clairesaulou	4
olivierchapuis	maicf	3
arramyleroux	fredericherbreteau	3
chevallierchantepie	rousseauhans	3
